date,gold,silver
1991-08-20,358.5,4.0025
1991-08-21,356.2,3.93
1991-08-22,356.5,3.9425
1991-08-23,354.4,3.88
1991-08-27,354.1,3.9535
1991-08-28,355.3,3.95
1991-08-29,353.5,3.941
1991-08-30,347.0,3.815
1991-09-02,347.6,3.831
1991-09-03,349.15,3.8735
1991-09-04,348.6,3.928
1991-09-05,347.3,3.8625
1991-09-06,347.0,3.871
1991-09-09,350.1,4.003
1991-09-10,351.2,4.0635
1991-09-11,347.5,3.97
1991-09-12,345.45,3.9715
1991-09-13,343.5,3.965
1991-09-16,344.9,4.06
1991-09-17,346.35,4.0775
1991-09-18,348.0,4.094
1991-09-19,349.55,4.095
1991-09-20,347.55,4.0725
1991-09-23,349.05,4.1225
1991-09-24,351.25,4.245
1991-09-25,352.4,4.235
1991-09-26,352.3,4.2215
1991-09-27,348.4,4.09
1991-09-30,350.5,4.135
1991-10-01,353.0,4.1465
1991-10-02,354.4,4.216
1991-10-03,357.2,4.1735
1991-10-04,357.0,4.1725
1991-10-07,359.2,4.13
1991-10-08,358.5,4.071
1991-10-09,357.6,4.0825
1991-10-10,359.55,4.1175
1991-10-11,357.25,4.05
1991-10-14,360.3,4.0985
1991-10-15,358.6,4.0765
1991-10-16,356.4,4.0525
1991-10-17,357.75,4.125
1991-10-18,360.25,4.12
1991-10-21,363.1,4.173
1991-10-22,362.9,4.1575
1991-10-23,362.9,4.145
1991-10-24,359.8,4.0865
1991-10-25,362.0,4.1215
1991-10-28,359.5,4.0835
1991-10-29,358.6,4.0525
1991-10-30,359.8,4.1125
1991-10-31,357.4,4.09
1991-11-01,357.5,4.102
1991-11-04,356.65,4.0785
1991-11-05,356.45,4.105
1991-11-06,354.4,4.0725
1991-11-07,355.3,4.07
1991-11-08,353.35,4.025
1991-11-11,354.9,4.0375
1991-11-12,355.1,4.035
1991-11-13,356.45,4.049
1991-11-14,356.15,4.0435
1991-11-15,355.3,4.01
1991-11-18,360.05,4.0515
1991-11-19,359.85,4.044
1991-11-20,362.55,4.0775
1991-11-21,363.75,4.096
1991-11-22,367.2,4.1325
1991-11-25,368.4,4.1375
1991-11-26,367.0,4.0885
1991-11-27,366.5,4.0975
1991-11-28,365.45,4.1
1991-11-29,366.85,4.065
1991-12-02,368.25,4.093
1991-12-03,366.0,4.065
1991-12-04,365.7,4.0525
1991-12-05,365.75,4.0475
1991-12-06,367.9,4.065
1991-12-09,370.2,4.0685
1991-12-10,370.75,4.0435
1991-12-11,367.7,4.005
1991-12-12,366.1,3.9475
1991-12-13,358.9,3.855
1991-12-16,360.05,3.871
1991-12-17,357.1,3.854
1991-12-18,357.5,3.885
1991-12-19,357.95,3.854
1991-12-20,356.25,3.8225
1991-12-23,359.2,3.89
1991-12-27,356.1,3.9025
1991-12-30,353.3,3.86
1992-01-02,351.2,3.8675
1992-01-03,352.4,3.985
1992-01-06,351.15,3.939
1992-01-07,349.3,3.9485
1992-01-08,350.3,3.945
1992-01-09,351.75,3.98
1992-01-10,356.65,4.138
1992-01-13,354.9,4.0715
1992-01-14,353.4,4.0475
1992-01-15,355.6,4.14
1992-01-16,354.6,4.136
1992-01-17,357.3,4.335
1992-01-20,356.6,4.23
1992-01-21,357.35,4.259
1992-01-22,356.85,4.255
1992-01-23,356.55,4.2935
1992-01-24,354.5,4.2
1992-01-27,354.85,4.17
1992-01-28,356.3,4.2035
1992-01-29,355.4,4.161
1992-01-30,356.5,4.235
1992-01-31,354.15,4.131
1992-02-03,357.1,4.1775
1992-02-04,356.35,4.166
1992-02-05,354.95,4.1675
1992-02-06,356.25,4.219
1992-02-07,355.4,4.195
1992-02-10,354.7,4.1865
1992-02-11,355.25,4.179
1992-02-12,356.35,4.195
1992-02-13,356.65,4.21
1992-02-14,355.35,4.1925
1992-02-17,354.2,4.1525
1992-02-18,353.5,4.132
1992-02-19,352.35,4.0575
1992-02-20,353.05,4.096
1992-02-21,353.25,4.1025
1992-02-24,349.0,4.077
1992-02-25,350.65,4.125
1992-02-26,348.8,4.065
1992-02-27,350.85,4.1
1992-02-28,353.05,4.1185
1992-03-02,350.55,4.095
1992-03-03,351.0,4.121
1992-03-04,350.2,4.106
1992-03-05,349.6,4.11
1992-03-06,350.55,4.1535
1992-03-09,349.0,4.158
1992-03-10,348.9,4.1675
1992-03-11,349.0,4.1525
1992-03-12,348.65,4.1425
1992-03-13,347.25,4.106
1992-03-16,346.75,4.1065
1992-03-17,343.35,4.043
1992-03-18,340.0,4.0715
1992-03-19,338.5,4.016
1992-03-20,337.6,4.1
1992-03-23,338.0,4.1075
1992-03-24,337.75,4.108
1992-03-25,340.1,4.109
1992-03-26,340.75,4.09
1992-03-27,340.35,4.0925
1992-03-30,342.75,4.1535
1992-03-31,341.5,4.12
1992-04-01,343.75,4.1515
1992-04-02,341.25,4.09
1992-04-03,340.25,4.0875
1992-04-06,340.5,4.094
1992-04-07,338.5,4.095
1992-04-08,337.7,4.092
1992-04-09,338.4,4.096
1992-04-10,341.0,4.1315
1992-04-13,342.0,4.125
1992-04-14,338.8,4.085
1992-04-15,339.6,4.1025
1992-04-16,336.8,4.031
1992-04-21,338.2,3.985
1992-04-22,338.3,3.99
1992-04-23,338.6,4.02
1992-04-24,336.55,3.99
1992-04-27,336.5,3.99
1992-04-28,336.85,3.9775
1992-04-29,334.75,3.935
1992-04-30,336.25,3.9815
1992-05-01,337.1,4.014
1992-05-05,336.5,4.0125
1992-05-06,336.75,4.065
1992-05-07,336.25,4.045
1992-05-08,334.85,4.0355
1992-05-11,336.5,4.11
1992-05-12,334.9,4.0825
1992-05-13,334.75,4.0825
1992-05-14,336.5,4.096
1992-05-15,338.15,4.1175
1992-05-18,339.2,4.0975
1992-05-19,340.0,4.115
1992-05-20,337.45,4.077
1992-05-21,337.45,4.075
1992-05-22,337.2,4.07
1992-05-26,337.0,4.0875
1992-05-27,338.45,4.1025
1992-05-28,337.2,4.075
1992-05-29,337.55,4.0575
1992-06-01,336.8,4.0275
1992-06-02,337.75,4.0715
1992-06-03,339.85,4.0895
1992-06-04,338.65,4.061
1992-06-05,338.85,4.0825
1992-06-08,338.5,4.0535
1992-06-09,337.7,4.0545
1992-06-10,337.85,4.056
1992-06-11,338.0,4.0565
1992-06-12,340.25,4.1065
1992-06-15,342.25,4.1215
1992-06-16,342.15,4.1035
1992-06-17,342.1,4.1065
1992-06-18,340.9,4.0875
1992-06-19,343.5,4.111
1992-06-22,341.6,4.0475
1992-06-23,344.1,4.0555
1992-06-24,344.0,4.039
1992-06-25,343.15,4.0345
1992-06-26,343.35,4.022
1992-06-29,342.55,3.9925
1992-06-30,343.4,4.026
1992-07-01,343.6,4.0485
1992-07-02,344.65,4.065
1992-07-03,345.8,4.04
1992-07-06,346.2,4.0525
1992-07-07,345.8,3.9175
1992-07-08,347.7,3.906
1992-07-09,347.2,3.9085
1992-07-10,348.75,3.965
1992-07-13,348.9,3.936
1992-07-14,350.4,3.95
1992-07-15,350.95,3.9505
1992-07-16,353.15,3.9375
1992-07-17,352.65,3.921
1992-07-20,358.8,3.995
1992-07-21,357.4,3.9525
1992-07-22,357.1,3.9625
1992-07-23,359.3,4.0125
1992-07-24,357.9,3.98
